id3DHST,RA,DEC,ir_SFR-ladder_total,ir_SFR-ladder_total_Av,gf_n_j,gf_dn_j,gf_f_j,gf_re_j,gf_dre_j,td_Av,ACS_F435W_FLUX,ACS_F775W_FLUX,restalt_restUjohnson,restalt_restVjohnson,td_flag1,td_z_best,td_z_spec,td_z_best_s,td_z_peak_phot,td_lmass,td_sfr,td_sfr_IR,td_sfr_UV,ir_z_ir,ir_SFR-UV_corr,ir_SFR-UV_corr_Error,ir_SFR-IR,ir_UV_beta,ir_A_UV_280,restUjohnson,restVjohnson
13,189.13564982,62.09659916,0.198658,4.776,0.7442,0.360114,0,0.099456,0.0151562,0.9,0.07142,0.30278,-15.82267,-16.851541,-1,0.5263,-1.0,3,0.5263,8.05,0.21406,0.17907,0.034995,0.54,0.198658,0.030022,-1.28334,1.0901,1.462,,
15,189.13149315,62.09732797,0.327356,3.187,0.2311,0.23188,0,0.335172,0.119384,0.0,0.05257,0.17475,-16.046784,-17.08814,-1,0.814,-1.0,3,0.814,8.22,3.0283,2.9396,0.088713,0.77,0.327356,0.0567847,-2.71364,0.2911,1.302,,
45,189.1367016,62.10149149,0.0507576,0.06383,0.4496,0.428358,0,0.11361,0.0434042,1.1,-99.0,0.0857,-15.423945,-16.345211,-1,0.6918,-1.0,3,0.6918,8.05,-99.0,-99.0,0.014997,0.77,0.0507576,0.00709351,-2.71364,-1.6758,0.651,,
53,189.12907208,62.10198621,0.236793,0.3459,0.2,0.0933171,2,0.083436,0.0164034,0.0,0.08525,0.14373,-16.226453,-16.682668,-1,0.913,-1.0,3,0.913,8.35,1.9985,1.7957,0.20278,0.68,0.236793,0.0279814,-2.08269,-1.4236,0.838,,
44,189.14997623,62.10177049,2.22916,3.234,0.5998,0.0809489,0,0.212154,0.00581157,0.6,0.40129,0.9408,-18.720072,-19.483792,0,0.93479,-1.0,2,0.9651,9.24,1.515,0.38196,1.1331,0.93,2.22916,0.241391,-3.78794,-1.3824,0.898,,
52,189.14329962,62.10229403,1.27969,1.643,2.7622,0.432652,0,0.197274,0.0145621,0.4,0.39942,0.94517,-18.444555,-19.013257,0,0.80038,-1.0,2,0.7892,8.8,1.3619,0.628,0.73393,0.8,1.27969,0.139353,-2.90674,-1.6006,0.716,,
54,189.12376421,62.10264312,2.90856,5.762,0.6188,0.0555636,0,0.45666,0.0109166,0.3,0.75672,1.90852,-19.035188,-19.700765,0,0.77004,-1.0,2,0.8842,9.34,1.2609,0.11215,1.1487,0.75,2.90856,0.421325,-2.56779,-1.1274,0.955,,
72,189.12240117,62.10330708,0.409447,1.014,1.4172,0.822682,0,0.080196,0.016699,0.4,0.07565,0.21978,-16.886816,-17.449784,-1,0.7333,-1.0,3,0.7333,8.05,0.62173,0.47576,0.14597,0.83,0.409447,0.0769836,-3.04584,-0.8468,1.149,,
78,189.11079758,62.10373353,0.102592,0.1783,1.2459,0.819304,2,0.018,0.00576853,0.6,0.01108,0.09216,-16.094407,-17.014159,-1,0.6958,-1.0,3,0.6958,8.33,0.74961,0.73556,0.014043,0.69,0.102592,0.00429489,-2.14546,-1.1303,0.955,,
71,189.12563826,62.10357369,0.819743,1.352,1.9984,0.489513,0,0.159504,0.015887,0.8,0.12828,0.39086,-17.906917,-18.782431,-1,0.8589,-1.0,3,0.8589,9.07,2.9435,2.6312,0.31228,0.96,0.819743,0.0526959,-4.19636,-1.251,0.918,,
91,189.14238193,62.10433595,0.193381,0.3334,0.2,0.20911,2,0.145056,0.0702081,0.7,0.03781,0.08294,-16.039348,-16.525903,-1,0.5274,-1.0,3,0.5274,7.42,0.3024,0.28048,0.02192,0.87,0.193381,0.0163425,-3.21847,-1.2204,0.929,,
103,189.21510377,62.10476295,0.696871,0.7259,2.4722,1.31757,0,0.46062,0.147141,0.5,-99.0,0.41724,-18.121249,-18.553899,-1,0.9353,-1.0,3,0.9353,8.65,-99.0,-99.0,0.62896,0.95,0.696871,0.00780654,-4.0512,-1.9309,0.392,,
82,189.08761547,62.10434354,0.364374,259100.0,3.3619,0.221032,0,0.117036,0.00325299,0.3,-99.0,1.22287,-19.085358,-20.83035,-1,0.9864,-1.0,3,0.9864,10.31,-99.0,-99.0,0.3791,0.97,0.364374,0.473967,-4.35033,9.0683,2.442,,
107,189.2118388,62.10493676,0.249542,0.2345,0.5714,0.148713,1,0.074184,0.0100253,0.1,-99.0,0.15664,-17.260947,-17.960529,-1,0.9211,-1.0,3,0.9211,8.69,-99.0,-99.0,0.2388,1.01,0.249542,0.00147417,-5.0491,-2.1507,0.182,,
118,189.20707036,62.10528193,0.0924971,0.09116,1.7953,1.24904,0,0.295752,0.0930702,0.4,-99.0,0.34146,-15.993584,-16.60176,-1,0.5071,-1.0,3,0.5071,7.79,-99.0,-99.0,0.084443,0.52,0.0924971,0.00391601,-1.16663,-2.1108,0.215,,
100,189.12437901,62.1051319,0.57028,0.9707,0.7638,0.117745,0,0.207864,0.00707874,0.5,0.24361,0.78157,-17.470118,-18.257445,0,0.55893,-1.0,2,0.6094,8.75,0.76623,0.5526,0.21362,0.63,0.57028,0.0775266,-1.80785,-1.2668,0.912,,
135,189.10603678,62.10591105,3.96019,2.755,3.3858,2.39083,0,0.951312,0.453427,0.2,0.06255,0.09455,-18.553085,-19.779395,-1,0.6343,-1.0,3,0.6343,8.75,0.12917,0.10163,0.027542,1.61,3.96019,0.342067,-22.5053,-1.1333,2.041,,
141,189.16044406,62.10608349,0.116918,0.2896,1.0583,0.490467,0,0.113208,0.0171187,0.3,0.08021,0.27346,-15.538246,-16.57483,-1,0.6555,-1.0,3,0.6555,8.06,-99.0,-99.0,0.082818,0.5,0.116918,0.0157207,-1.05309,-0.9289,0.993,,
147,189.11308615,62.10610543,0.280403,3.014,0.5052,0.262403,0,0.199854,0.0333328,0.4,0.07707,0.20353,-15.928435,-16.648389,-1,0.6789,-1.0,3,0.6789,7.95,0.79835,0.6891,0.10925,0.59,0.280403,0.0467563,-1.5914,0.4011,1.349,,
93,189.10474086,62.10527656,3.15805,4.063,0.6279,0.0577513,0,0.46416,0.0104242,0.3,0.74918,1.42833,-19.27942,-19.768509,-1,0.9582,-1.0,3,0.9582,9.04,3.6026,1.9491,1.6535,0.9,3.15805,0.345854,-3.45996,-1.5971,0.719,,
146,189.10591123,62.1061251,0.144463,0.8058,0.326,0.149019,1,0.133938,0.020375,0.4,0.17585,0.50843,-13.248568,-14.144096,-1,0.591,-1.0,3,0.591,8.0,-99.0,-99.0,0.096295,0.38,0.144463,0.0172432,-0.495991,-0.236,1.105,,
154,189.15637663,62.10644726,0.0134617,0.02833,2.4068,0.761915,0,0.314742,0.0522478,1.0,0.04983,0.29883,-13.952845,-15.307993,-1,0.5032,-1.0,3,0.5032,8.17,-99.0,-99.0,0.03008,0.3,0.0134617,0.000749268,-0.26417,-1.0224,0.978,,
179,189.13753089,62.10703698,0.388346,0.915,0.2,0.24769,2,0.19461,0.111231,0.0,0.04477,0.07743,-16.600847,-17.162729,-1,0.8517,-1.0,3,0.8517,8.05,0.38196,0.30659,0.075366,1.07,0.388346,0.0524598,-6.30324,-0.9712,0.987,,
178,189.13968274,62.10702338,0.0928151,0.171,0.2,0.0743783,2,0.112566,0.0162226,0.1,0.04616,0.1773,-15.531799,-16.477301,-1,0.5376,-1.0,3,0.5376,7.94,0.21887,0.18526,0.033612,0.58,0.0928151,0.00072675,-1.5301,-1.1002,0.962,,
157,189.13300713,62.10680561,2.79889,8.24,0.6811,0.0550974,0,0.2919,0.00659367,0.7,0.33642,0.98284,-19.102752,-19.885588,0,0.98476,-1.0,2,0.9307,9.42,2.6816,1.4697,1.2119,0.99,2.79889,0.298994,-4.6839,-0.7723,1.013,,
181,189.0734386,62.10727836,5.47972,16.55,2.452,0.42227,0,0.27747,0.0273278,1.8,-99.0,0.58566,-19.469572,-20.357167,-1,0.7446,-1.0,3,0.7446,8.95,2.485,2.081,0.40405,1.25,5.47972,0.76581,-11.892,-0.5944,1.266,,
140,189.13389001,62.10700871,8.7347,8.7347,1.0112,0.0463403,0,0.434556,0.00758989,0.4,1.10275,2.35179,-20.110977,-20.639041,0,0.98774,-1.0,2,0.9584,9.39,5.7785,2.7238,3.0547,0.99,10.4531,0.766815,5.35682,-1.3484,1.281,,
117,189.19955417,62.10667221,17.2293,17.2293,0.4629,0.0427073,0,1.07024,0.0267933,1.4,-99.0,1.80247,-19.811078,-20.713788,-1,0.9982,-1.0,3,0.9982,9.91,13.562,11.923,1.6391,1.02,35.2422,1.06871,14.5006,0.1019,2.801,,
206,189.07486089,62.10782244,0.528061,0.6584,2.6809,0.973421,0,0.318474,0.0647938,0.2,-99.0,0.78581,-17.827497,-18.642053,-1,0.908,-1.0,3,0.908,8.74,1.4382,0.65663,0.7816,0.7,0.528061,0.070042,-2.21081,-1.6591,0.679,,
177,189.16468375,62.10761383,0.344286,0.3784,0.6531,0.160739,0,0.398136,0.0270083,0.7,0.15548,0.49357,-17.625265,-18.463748,-1,0.9411,-1.0,3,0.9411,8.85,0.96672,0.51988,0.44684,0.76,0.344286,0.0118434,-2.64145,-1.827,0.502,,
202,189.17698513,62.1078923,2.33599,2.992,0.8488,0.265266,0,0.499368,0.0500811,0.0,0.4285,0.80062,-18.957806,-19.467645,0,0.80941,-1.0,2,0.9489,9.02,1.0877,0.27567,0.81205,1.0,2.33599,0.300025,-4.863,-1.5984,0.735,,
180,189.22736694,62.10782191,1.00357,1.736,1.1241,0.0991448,0,0.403896,0.0144345,0.2,-99.0,2.02958,-18.081118,-18.918528,-1,0.5236,-1.0,3,0.5236,8.99,0.58193,0.17676,0.40517,0.56,1.00357,0.138586,-1.40504,-1.2517,0.918,,
