FIELD_x,ID_x,RA_x_x,DEC_x_x,Z_50_x,Z_ERR_x,PAB_FLUX_x,PAB_FLUX_ERR_x,OBS_PAB_x,id3DHST_x,ir_SFR-ladder_total_x,ir_SFR-ladder_total_Av_x,gf_n_j_x,gf_dn_j_x,gf_f_j_x,gf_re_j_x,gf_dre_j_x,td_Av_x,ACS_F435W_FLUX_x,ACS_F775W_FLUX_x,restalt_restUjohnson_x,restalt_restVjohnson_x,td_flag1_x,td_z_best_x,td_z_spec_x,td_z_best_s_x,td_z_peak_phot_x,td_lmass_x,td_sfr_x,td_sfr_IR_x,td_sfr_UV_x,ir_z_ir_x,ir_SFR-UV_corr_x,ir_SFR-UV_corr_Error_x,ir_SFR-IR_x,ir_UV_beta_x,ir_A_UV_280_x,DL_x,PAB_L_x,PAB_L_ERR_x,SIGMA_1_x,PAB_SFR_x,PAB_SFR_ERR_x,UV_SFR_ERR_x,PAB_SFR_EX2_x,PAB_SFR_EX2_ladder_x,PAB_SFR_EX2_ERR_x,PAB_SFR_LL_x,PAB_SFR_EX2_LL_x,PAB_SFR_LL_1SIGMA_x,PAB_SFR_EX_LL_1SIGMA_x,FIELD_y,ID_y,RA_x_y,DEC_x_y,Z_50_y,Z_ERR_y,PAB_FLUX_y,PAB_FLUX_ERR_y,OBS_PAB_y,id3DHST_y,ir_SFR-ladder_total_y,ir_SFR-ladder_total_Av_y,gf_n_j_y,gf_dn_j_y,gf_f_j_y,gf_re_j_y,gf_dre_j_y,td_Av_y,ACS_F435W_FLUX_y,ACS_F775W_FLUX_y,restalt_restUjohnson_y,restalt_restVjohnson_y,td_flag1_y,td_z_best_y,td_z_spec_y,td_z_best_s_y,td_z_peak_phot_y,td_lmass_y,td_sfr_y,td_sfr_IR_y,td_sfr_UV_y,ir_z_ir_y,ir_SFR-UV_corr_y,ir_SFR-UV_corr_Error_y,ir_SFR-IR_y,ir_UV_beta_y,ir_A_UV_280_y,DL_y,PAB_L_y,PAB_L_ERR_y,SIGMA_1_y,PAB_SFR_y,PAB_SFR_ERR_y,UV_SFR_ERR_y,PAB_SFR_EX2_y,PAB_SFR_EX2_ladder_y,PAB_SFR_EX2_ERR_y,PAB_SFR_LL_y,PAB_SFR_EX2_LL_y,PAB_SFR_LL_1SIGMA_y,PAB_SFR_EX_LL_1SIGMA_y,id,sfrratio,sfrratio_calz,calzfactor,sfrratio_mw,mwfactor
GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815,19.4455052485546,2.12677925054694,14610.06428423261,19221,1.8332,1.8332,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,0.94,666.9478951892702,1.0348930576947231e+40,1.1318754917945963e+39,8.092881374200575,-0.0051045263932394,0.0474671232729209,0.0512360150815145,-0.2799779097636126,-0.2683143749659884,0.0698445204238661,-1.79413937346402,-2.069012756834393,-1.981965838380134,-2.256839221750507,GN2,19221,189.20126644,62.240701729,0.1396305993941193,0.0024702370588815,19.4455052485546,2.12677925054694,14610.06428423261,19221,1.8332,1.8332,1.6737,0.0458735,0,0.600048,0.00884646,1.0,40.04966,92.2314,-18.874882,-19.713562,0,0.139,0.139,1,0.1503,9.05,1.5028,0.5933,0.90949,0.14,1.8831,0.22231,0.975161,-1.1823,0.94,666.9478951892702,1.0348930576947231e+40,1.1318754917945963e+39,8.092881374200575,-0.0051045263932394,0.0474671232729209,0.0512360150815145,-0.2799779097636126,-0.2683143749659884,0.0698445204238661,-1.79413937346402,-2.069012756834393,-1.981965838380134,-2.256839221750507,19221,-0.28,-0.04,1.74,-0.06,1.67
GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.0075876351377008,14.5205503956923,2.31713944538328,15374.27830794985,15610,1.28475,1.28475,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,0.926,987.4400743034412,1.6939360276074327e+40,2.703124799380517e+39,7.696212983656835,0.2088970049429193,0.0692562259619772,0.0187283676975945,-0.0062750880263302,0.1000783785857087,0.0717438261532847,-1.4533016887496046,-1.6684737817188542,-1.6411281536657183,-1.856300246634968,GN2,15610,189.21272212,62.222423294,0.1992416776871956,0.0075876351377008,14.5205503956923,2.31713944538328,15374.27830794985,15610,1.28475,1.28475,1.2779,0.102868,0,1.49332,0.0708744,0.3,17.46612,50.43783,-18.985366,-19.971201,0,0.2008,0.2008,1,0.2096,9.43,1.121,0.27426,0.8467,0.2,1.64124,0.0708243,0.564242,-1.2266,0.926,987.4400743034412,1.6939360276074327e+40,2.703124799380517e+39,7.696212983656835,0.2088970049429193,0.0692562259619772,0.0187283676975945,-0.0062750880263302,0.1000783785857087,0.0717438261532847,-1.4533016887496046,-1.6684737817188542,-1.6411281536657183,-1.856300246634968,15610,-0.01,0.07,1.18,0.06,1.17
GN3,34456,189.33981288,62.324291407,0.21129,0.0101134300149048,27.5076294,2.86222911,15695.781592404122,34456,1.6574,1.6574,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,1.944,1054.615084294309,3.6604421821168103e+40,3.80877029306155e+39,8.551415308479926,0.5435335514200332,0.0451586509210422,0.0414230803586766,0.2344380655199093,0.3241062169123518,0.0612794854695266,-1.396135228458988,-1.7052307143591117,-1.5839616933751015,-1.893057179275225,GN3,34456,189.33981288,62.324291407,0.21129,0.0101134300149048,27.5076294,2.86222911,15695.781592404122,34456,1.6574,1.6574,1.9239,0.516698,0,1.1246,0.175864,2.3,6.17522,46.80933,-18.004112,-19.807896,0,0.211,0.211,1,0.3082,10.01,1.4614,1.3355,0.12584,0.21,2.03749,0.194468,1.29452,0.2181,1.944,1054.615084294309,3.6604421821168103e+40,3.80877029306155e+39,8.551415308479926,0.5435335514200332,0.0451586509210422,0.0414230803586766,0.2344380655199093,0.3241062169123518,0.0612794854695266,-1.396135228458988,-1.7052307143591117,-1.5839616933751015,-1.893057179275225,34456,0.23,0.79,3.57,0.75,3.27
GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.0141416598162802,28.2827543404733,2.68852447315662,15962.43024127925,34157,0.78256,0.78256,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,0.631,1247.3676076150057,5.265056720374452e+40,5.004899337200679e+39,7.709023943585502,0.7014030541944294,0.0412555158986133,0.0355388306478381,0.6783853004866883,0.8078854087172223,0.0544520529996478,-1.2503342623901332,-1.2733520160978744,-1.438160727306247,-1.4611784810139885,GN3,34157,189.20682581,62.321196204,0.2451193635943251,0.0141416598162802,28.2827543404733,2.68852447315662,15962.43024127925,34157,0.78256,0.78256,1.7008,0.369811,0,1.08867,0.140162,0.1,3.88474,11.78587,-18.259385,-19.108387,0,0.29434,-1.0,2,0.2767,9.23,0.5685,0.067606,0.5009,0.28,1.05443,0.0863438,0.158936,-1.6969,0.631,1247.3676076150057,5.265056720374452e+40,5.004899337200679e+39,7.709023943585502,0.7014030541944294,0.0412555158986133,0.0355388306478381,0.6783853004866883,0.8078854087172223,0.0544520529996478,-1.2503342623901332,-1.2733520160978744,-1.438160727306247,-1.4611784810139885,34157,0.68,0.7,1.06,0.7,1.05
GN3,33397,189.17546982,62.314346623,0.245052751020829,0.0108411778363291,6.15906774066491,1.9088266921288,15961.576268087028,33397,0.676842,0.676842,0.8072,0.129569,0,0.933042,0.0718684,0.8,4.36831,20.14806,-18.174565,-19.460854,0,0.19602,-1.0,2,0.2131,9.34,0.33978,0.13154,0.20824,0.25,0.951868,0.0782902,0.295839,-0.4611,1.055,1246.982173983502,1.1458503458828223e+40,3.5512350529368e+39,7.6832117778404285,0.0391279001781583,0.1345058731720435,0.0356960700433253,0.0605511732709115,0.2086406000846993,0.1391619176869586,-1.2506026957940932,-1.2291794227013402,-1.438429160710207,-1.417005887617454,GN3,33397,189.17546982,62.314346623,0.245052751020829,0.0108411778363291,6.15906774066491,1.9088266921288,15961.576268087028,33397,0.676842,0.676842,0.8072,0.129569,0,0.933042,0.0718684,0.8,4.36831,20.14806,-18.174565,-19.460854,0,0.19602,-1.0,2,0.2131,9.34,0.33978,0.13154,0.20824,0.25,0.951868,0.0782902,0.295839,-0.4611,1.055,1246.982173983502,1.1458503458828223e+40,3.5512350529368e+39,7.6832117778404285,0.0391279001781583,0.1345058731720435,0.0356960700433253,0.0605511732709115,0.2086406000846993,0.1391619176869586,-1.2506026957940932,-1.2291794227013402,-1.438429160710207,-1.417005887617454,33397,0.06,0.25,1.56,0.24,1.51
GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.0092544432277838,4.37180834323876,1.18772865255872,16107.064380817186,33511,0.220988,0.220988,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,0.967,1312.976347344302,9.017109608619421e+39,2.4497595970745702e+39,7.320042788844346,-0.0649326511712331,0.1179086992703359,0.05214776,0.4437056549944942,0.5906986573847312,0.1289257547452801,-1.205809380982295,-0.6971710748165676,-1.3936358458984088,-0.8849975397326815,GN3,33511,189.23454989,62.31476841,0.2564012777548507,0.0092544432277838,4.37180834323876,1.18772865255872,16107.064380817186,33511,0.220988,0.220988,0.7823,0.56404,0,0.565086,0.132302,1.2,1.43508,5.87106,-16.948597,-18.110253,0,0.2535,0.2535,1,0.2167,8.63,0.19901,0.059198,0.13981,0.25,0.31,0.0372484,0.0829208,-1.079,0.967,1312.976347344302,9.017109608619421e+39,2.4497595970745702e+39,7.320042788844346,-0.0649326511712331,0.1179086992703359,0.05214776,0.4437056549944942,0.5906986573847312,0.1289257547452801,-1.205809380982295,-0.6971710748165676,-1.3936358458984088,-0.8849975397326815,33511,0.44,0.73,1.94,0.71,1.86
GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.0052074797340885,4.1323714787567,0.995736555171028,15748.400334035596,34368,0.436351,0.436351,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,0.382,1151.489047499636,6.555584316662985e+39,1.5796341103804094e+39,7.594131215924559,-0.2033885924265774,0.1045766739911403,0.0108053944418123,0.1357203278110575,0.156775431982532,0.1051334261407494,-1.319803563106504,-0.9806946428688688,-1.5076300280226178,-1.1685211077849829,GN3,34368,189.33852596,62.32096804899998,0.2284243630292977,0.0052074797340885,4.1323714787567,0.995736555171028,15748.400334035596,34368,0.436351,0.436351,2.5304,3.21991,0,0.348786,0.236504,0.7,3.67107,8.59712,-17.666023,-18.375686,0,0.2312,0.2312,1,0.2328,8.47,0.42498,0.11777,0.30721,0.23,0.458027,0.0114036,0.108598,-1.94,0.382,1151.489047499636,6.555584316662985e+39,1.5796341103804094e+39,7.594131215924559,-0.2033885924265774,0.1045766739911403,0.0108053944418123,0.1357203278110575,0.156775431982532,0.1051334261407494,-1.319803563106504,-0.9806946428688688,-1.5076300280226178,-1.1685211077849829,34368,0.14,0.3,1.47,0.29,1.43
GN3,34077,189.21093005,62.317701301,0.2481206951851821,0.0133359694976283,4.11692172025264,0.936844812425672,16000.907312274034,34077,0.270007,1.096,1.2042,0.185669,0,0.436422,0.0304006,0.1,0.97364,2.93547,-16.531367,-17.43304,0,0.24795,-1.0,2,0.2454,8.33,0.10302,0.01229,0.090729,0.25,0.270007,0.0387612,-0.165181,-0.5276,1.045,1264.7576735562352,7.879155735413662e+39,1.7929770538758968e+39,7.270825005684036,-0.1235203153904578,0.0987608403124533,0.0623034247260256,0.4451046611099407,0.4451046611099407,0.1167708024799583,-1.2383085399848142,-0.6696835634844156,-1.426135004900928,-0.8575100284005295,GN3,34077,189.21093005,62.317701301,0.2481206951851821,0.0133359694976283,4.11692172025264,0.936844812425672,16000.907312274034,34077,0.270007,1.096,1.2042,0.185669,0,0.436422,0.0304006,0.1,0.97364,2.93547,-16.531367,-17.43304,0,0.24795,-1.0,2,0.2454,8.33,0.10302,0.01229,0.090729,0.25,0.270007,0.0387612,-0.165181,-0.5276,1.045,1264.7576735562352,7.879155735413662e+39,1.7929770538758968e+39,7.270825005684036,-0.1235203153904578,0.0987608403124533,0.0623034247260256,0.4451046611099407,0.4451046611099407,0.1167708024799583,-1.2383085399848142,-0.6696835634844156,-1.426135004900928,-0.8575100284005295,34077,0.45,0.47,1.06,0.47,1.05
GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.1279366579426364,3.1227880988894903,0.794631487723119,15824.1611871204,33249,0.0776152,0.08495,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,0.376,1185.261011058665,5.248835256905838e+39,1.3356300962245487e+39,7.052139170515979,-0.2999370580452591,0.1104365889553872,0.0398755589111411,0.8101161610355652,0.8101161610355652,0.1174150773051614,-1.294695188878542,-0.1846419697977177,-1.482521653794656,-0.3724684347138316,GN5,33249,189.2077221527124,62.31109623777222,0.2343339459532293,0.1279366579426364,3.1227880988894903,0.794631487723119,15824.1611871204,33249,0.0776152,0.08495,1.3753,0.742879,0,0.152076,0.0278929,0.5,0.70336,1.50404,-15.897715,-16.527162,0,0.22691,-1.0,2,0.2218,7.67,0.069187,0.0019787,0.067208,0.23,0.0776152,0.00713122,-0.133758,-1.9463,0.376,1185.261011058665,5.248835256905838e+39,1.3356300962245487e+39,7.052139170515979,-0.2999370580452591,0.1104365889553872,0.0398755589111411,0.8101161610355652,0.8101161610355652,0.1174150773051614,-1.294695188878542,-0.1846419697977177,-1.482521653794656,-0.3724684347138316,33249,0.81,0.93,1.32,0.92,1.29
GS2,45518,53.154086915,-27.69792974,0.2818814162464867,0.0052646212785802,4.87117851404031,1.05949125423011,16433.71975627996,45518,0.633564,1.334,1.1384,0.0268107,0,0.395424,0.00382349,0.0,1.84694,4.55811,-17.44108,-18.151095,0,0.28146,-1.0,2,0.2825,8.68,0.3266,0.02664,0.29996,0.28,0.633564,0.0940384,-0.220867,-1.0753,0.967,1463.5278369957114,1.2483272453394552e+40,2.715137199431679e+39,7.115943023709629,0.0763284493009237,0.0943958844888398,0.0644175893832351,0.2745379572433663,0.2745379572433663,0.1142812706893718,-1.1115212114056092,-0.9133117034631666,-1.299347676321723,-1.1011381683792805,GS2,45518,53.154086915,-27.69792974,0.2818814162464867,0.0052646212785802,4.87117851404031,1.05949125423011,16433.71975627996,45518,0.633564,1.334,1.1384,0.0268107,0,0.395424,0.00382349,0.0,1.84694,4.55811,-17.44108,-18.151095,0,0.28146,-1.0,2,0.2825,8.68,0.3266,0.02664,0.29996,0.28,0.633564,0.0940384,-0.220867,-1.0753,0.967,1463.5278369957114,1.2483272453394552e+40,2.715137199431679e+39,7.115943023709629,0.0763284493009237,0.0943958844888398,0.0644175893832351,0.2745379572433663,0.2745379572433663,0.1142812706893718,-1.1115212114056092,-0.9133117034631666,-1.299347676321723,-1.1011381683792805,45518,0.27,0.27,1.0,0.27,1.0
